window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,mu2,sigma2,lr_stat,lr_p
11,tvtp_exflow,2016-10-29,2020-10-28,2021-01-26,2839.2522036963155,-5642.504407392631,-5547.352956527988,18,True,0.002005954710091236,0.009867301278339527,0.0035453723502583976,0.0356549368036417,-0.0007621592736180112,0.07050561875258532,3.7236055275061517,0.7140207533182945
11,tvtp_both,2016-10-29,2020-10-28,2021-01-26,2884.609144349559,-5721.218288699118,-5594.349687546261,24,False,0.0015063020184244913,0.007762620967969955,0.00524834374159926,0.02601439654507677,-0.002221530242461552,0.06730309540839702,94.4374868339928,6.79208616888554e-15
12,baseline,2017-01-28,2021-01-27,2021-04-27,2790.7693697480636,-5557.538739496127,-5494.104438919699,12,True,0.0019608336609413736,0.010380656313372462,0.003552326495088558,0.037783271542344,0.0011680440173942894,0.06826112746166682,,
12,tvtp_logrv,2017-01-28,2021-01-27,2021-04-27,2821.967820315786,-5607.935640631572,-5512.784189766929,18,True,0.0020199193889071797,0.009272674627839457,0.004806183351892116,0.029396198184835486,-0.000890297263221883,0.06908810779261888,62.39690113544475,1.4646832922089086e-11
12,tvtp_exflow,2017-01-28,2021-01-27,2021-04-27,2791.917149357342,-5547.834298714684,-5452.682847850041,18,True,0.002119140543297546,0.010375318833925078,0.003503279703611679,0.03784109263952383,0.0010734310313140411,0.06809601194858149,2.295559218557173,0.8906096327326423
12,tvtp_both,2017-01-28,2021-01-27,2021-04-27,2831.5682396453276,-5615.136479290655,-5488.267878137798,24,True,0.0016622641023410387,0.008899867528726527,0.005242770139236045,0.027916282032202557,-0.0007746138946439973,0.06678776873741732,81.59773979452802,2.044187830936012e-12
13,baseline,2017-04-29,2021-04-28,2021-07-27,2754.8356709179034,-5485.671341835807,-5422.237041259378,12,True,0.0013344582694275028,0.010257811533866668,0.0031246082289248223,0.037872306110104184,0.0028248880196628623,0.06775693793636059,,
13,tvtp_logrv,2017-04-29,2021-04-28,2021-07-27,2788.854578323259,-5541.709156646518,-5446.557705781875,18,False,0.0014626955794614124,0.009738184896867133,0.004252715619642402,0.03200709853258736,0.00032401667429437,0.0717046366043464,68.0378148107111,1.0320611275253125e-12
13,tvtp_exflow,2017-04-29,2021-04-28,2021-07-27,2757.0261206739433,-5478.052241347887,-5382.900790483243,18,True,0.0014247258722516574,0.009973064712352372,0.003637757418564913,0.03715005208207387,0.0015436450641863203,0.07002706274374984,4.38089951207985,0.6252756830606314
13,tvtp_both,2017-04-29,2021-04-28,2021-07-27,2792.6972728272444,-5537.394545654489,-5410.525944501632,24,False,0.0016538285586612162,0.009491764145148043,0.004013609722979816,0.031007423594170944,0.0007220587459323141,0.07058611576350377,75.72320381868212,2.6813863879341562e-11
14,baseline,2017-07-29,2021-07-28,2021-10-26,2763.372455254096,-5502.744910508192,-5439.310609931764,12,True,0.0012205812329229562,0.010444108244141416,0.003157547818245341,0.03872565158038226,0.00018788860530807963,0.06604995366227474,,
14,tvtp_logrv,2017-07-29,2021-07-28,2021-10-26,2797.3193451416346,-5558.638690283269,-5463.487239418626,18,True,0.0014802354155092278,0.009775086607382397,0.003469356998229375,0.032988627540975916,-0.0011380451093017149,0.07155493510704891,67.89377977507684,1.1045759182180104e-12
14,tvtp_exflow,2017-07-29,2021-07-28,2021-10-26,2768.9380051512244,-5501.876010302449,-5406.7245594378055,18,True,0.0014243936830042824,0.010370239976610459,0.003262162381921026,0.03905007925929759,-0.0009557143308122084,0.07001039759116524,11.131099794256443,0.08440816413946914
14,tvtp_both,2017-07-29,2021-07-28,2021-10-26,2804.5703284535425,-5561.140656907085,-5434.272055754228,24,True,0.0016019712400031324,0.011304986920620345,0.0029865881296300485,0.036510796023687446,-0.0006125413790459606,0.07367855605669742,82.3957463988927,1.4381888075387285e-12
15,baseline,2017-10-28,2021-10-27,2022-01-25,2782.105681893412,-5540.211363786824,-5476.777063210396,12,True,0.0013926705794692078,0.010172376003902148,0.0025646227059667537,0.03876862349105564,0.0001633015464885826,0.06525782454645451,,
15,tvtp_logrv,2017-10-28,2021-10-27,2022-01-25,2814.574822535429,-5593.149645070858,-5497.998194206215,18,True,0.0014589331232820887,0.009689075674151568,0.0033283278776517398,0.03267812427318886,-0.001768132999549445,0.07110706680255961,64.93828128403402,4.4409720601598186e-12
