window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,nu0,mu1,sigma1,nu1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
4,tvtp_logrv,2015-01-31,2019-01-30,2019-04-30,3056.7132708566933,-6093.4265417133865,-6040.564624566363,10,True,0.0018526703227347528,0.01817607670899098,2.93571287314177,0.0026755924818655974,0.053224911764328246,7.813194019597721,0.8870750859122437,0.3404813371941648,-1.4522896395317018,1.6410575176344906,19.74591425183462,5.155006297269343e-05,,
4,tvtp_exflow,2015-01-31,2019-01-30,2019-04-30,3050.7412941439216,-6081.482588287843,-6028.6206711408195,10,True,0.0018578088503508308,0.04951196842642911,2.106708778291463,0.002780309074028793,0.05260382989852836,6.182083085837717,4.334324456337136,3.8229023815603465,-0.915550356945408,0.5398820320661689,7.801960826291179,0.02022207573491577,,
4,tvtp_both,2015-01-31,2019-01-30,2019-04-30,3059.3459380295008,-6094.6918760590015,-6031.257575482573,12,True,0.0019431052746841301,0.018304103528745164,2.9578008103464057,0.002345159378538339,0.05381349215430039,8.48327053499429,0.8701910697880085,0.21978214224222675,-1.532019936695814,1.579824038653696,25.011248597449594,5.004849686507469e-05,-0.3339822330359339,0.2507197099015512
5,baseline,2015-05-02,2019-05-01,2019-07-30,3101.3782569396126,-6186.756513879225,-6144.466980161606,8,True,0.0017155967247863475,0.043599307432757486,2.1085362564306735,0.003538009333856623,0.052056725395082395,4.994883348719681,3.977526234594159,3.848675901446453,,,,,,
5,tvtp_logrv,2015-05-02,2019-05-01,2019-07-30,3107.7024289535534,-6195.404857907107,-6142.542940760083,10,True,0.0018160415798136357,0.023305274228334182,2.4067166757893927,0.0032101653126938843,0.052783169510208984,6.378694332590862,1.6151006672813688,0.9971909999131531,-1.245001159489209,1.616276249682359,12.648344027881649,0.001792449759706873,,
5,tvtp_exflow,2015-05-02,2019-05-01,2019-07-30,3104.706499103123,-6189.412998206246,-6136.551081059222,10,True,0.00304934050985201,0.05218031228857675,5.552954815065776,0.0018705931741096918,0.06485162043826925,2.0500002123523626,3.914836014246203,4.270485117447725,0.5084686181952118,-0.8312930404971787,6.656484327020735,0.03585607882639029,,
5,tvtp_both,2015-05-02,2019-05-01,2019-07-30,3109.6837061039005,-6195.367412207801,-6131.933111631372,12,True,0.001853566228168309,0.035607854146493464,2.1588626180630945,0.003042274655928732,0.05219274880442735,5.811423957705404,2.3074847135700285,1.7063688151102505,-1.0826729902528607,1.6459898409197034,16.610898328575786,0.002299993449543289,-0.3347516845254107,0.42483395773593036
6,baseline,2015-08-01,2019-07-31,2019-10-29,3009.0267428355282,-6002.0534856710565,-5959.763951953438,8,True,0.0037347210489985278,0.05286685337159107,5.259725363465036,0.0020598576501446773,0.06349271386589919,2.050000289462501,3.935048718279815,3.890804866489942,,,,,,
6,tvtp_logrv,2015-08-01,2019-07-31,2019-10-29,3014.1219718219945,-6008.243943643989,-5955.382026496965,10,True,0.0022153670001131523,0.02188055082989854,2.4532736969317708,0.0033140814389793632,0.05334584886614456,6.484687108826154,1.2047637329960357,1.0447861857706624,-1.3222588208523027,1.6489895908974554,10.190457972932563,0.00612590372518542,,
6,tvtp_exflow,2015-08-01,2019-07-31,2019-10-29,3012.8618768644246,-6005.723753728849,-5952.861836581826,10,True,0.0033142760665622033,0.0529611971735691,5.734198154704919,0.002232661291689625,0.06505823165328983,2.0500002890170452,4.0272038262468435,4.056267451030208,0.6395514416792647,-0.776156342941525,7.670268057792782,0.021598443460631903,,
