window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
5,tvtp_both,2015-05-02,2019-05-01,2019-07-30,3088.505408097821,-6157.010816195642,-6104.148899048619,10,True,0.0024479593114538544,0.01237802203400717,0.0017483252514493507,0.055392806566306865,0.6786732687954217,-0.1943289354703717,-1.1808650961705032,1.7088015910494674,106.36448860056771,4.336124619672686e-22,-0.3677229091348541,0.14110311165110856
6,baseline,2015-08-01,2019-07-31,2019-10-29,2941.548822136878,-5871.097644273756,-5839.380493985541,6,True,0.0027988782610455214,0.013719158525266005,0.0020368762623193394,0.054257085834765545,2.1848469282495544,2.239571812871862,,,,,,
6,tvtp_logrv,2015-08-01,2019-07-31,2019-10-29,2994.8450799451775,-5973.690159890355,-5931.400626172736,8,True,0.0029734819278492853,0.012066741660251814,0.0018288243042064853,0.05559389226579693,0.4886079363903626,0.1270964593447835,-1.2008907694230035,1.6102372460457728,106.59251561659948,7.14051157937623e-24,,
6,tvtp_exflow,2015-08-01,2019-07-31,2019-10-29,2942.5511054557146,-5869.102210911429,-5826.8126771938105,8,True,0.0028163045224653626,0.013644610077515835,0.002024262184388036,0.0541308340621187,2.1430620704348238,2.2221187905357693,-0.19786661586783982,0.18833099805463183,2.0045666376736335,0.3670404133622643,,
6,tvtp_both,2015-08-01,2019-07-31,2019-10-29,2998.417722480994,-5976.835444961988,-5923.973527814965,10,True,0.003101720951917456,0.012318030250965156,0.0016730168454175585,0.0559830112357535,0.45487379485475543,0.019983857930285613,-1.2623340295641805,1.6398023181170995,113.73780068823271,1.1603676655697362e-23,-0.39828195850511855,0.17473712903067018
7,baseline,2015-10-31,2019-10-30,2020-01-28,2899.6174946547953,-5787.234989309591,-5755.517839021376,6,True,0.0022940807148220076,0.013126532279149759,0.0023041062618555353,0.05324247183568853,1.9354299207454615,2.15372455910811,,,,,,
7,tvtp_logrv,2015-10-31,2019-10-30,2020-01-28,2952.701779472106,-5889.403558944212,-5847.114025226593,8,True,0.0024451045780176667,0.011018600500215036,0.002173635408635064,0.054010382618798466,0.21294697204607063,0.3097380642481259,-1.0744956300928077,1.5195119554880239,106.16856963462124,8.826489889243657e-24,,
7,tvtp_exflow,2015-10-31,2019-10-30,2020-01-28,2900.545337825948,-5785.090675651896,-5742.801141934277,8,True,0.0022549460644170453,0.012751020410128672,0.002335348449209549,0.05304351264360111,1.8251570341221817,2.082880299411692,-0.10707676607693356,0.2033187589562539,1.8556863423054892,0.3954056135703712,,
7,tvtp_both,2015-10-31,2019-10-30,2020-01-28,2956.182454093168,-5892.364908186336,-5839.502991039312,10,True,0.0025818295173247355,0.011054610798458675,0.0020542822430048074,0.05413311540920702,0.16740490247624149,0.2853970324297135,-1.113407458227725,1.4777923662826906,113.12991887674525,1.5642582343844518e-23,-0.34926970652981065,0.19712752499752306
8,baseline,2016-01-30,2020-01-29,2020-04-28,2926.1988097680087,-5840.397619536017,-5808.680469247803,6,True,0.0020996827039544874,0.013919909174392179,0.0022735362936363193,0.05281772554199798,2.1286954327973486,2.2626491756791522,,,,,,
8,tvtp_logrv,2016-01-30,2020-01-29,2020-04-28,2968.663591951563,-5921.327183903126,-5879.037650185507,8,True,0.002110215903796649,0.01099774842751727,0.002260452525104642,0.052814791894703436,0.2728748699457674,0.4382640347193825,-1.0005604533987338,1.359840843934016,84.92956436710847,3.612263496984386e-19,,
8,tvtp_exflow,2016-01-30,2020-01-29,2020-04-28,2926.77611126142,-5837.55222252284,-5795.262688805221,8,True,0.0021557627404890293,0.013935154203943397,0.002223442868749584,0.05285998609961564,2.091967298145547,2.2302371371795036,-0.1919304296278183,0.12806425132212595,1.1546029868222831,0.5614112964041507,,
8,tvtp_both,2016-01-30,2020-01-29,2020-04-28,2971.915039984534,-5923.830079969068,-5870.968162822044,10,True,0.0022192752677807417,0.01097520687963149,0.0021678013378100404,0.0528333817538932,0.21907419558159863,0.4145226168662733,-1.0364229266347067,1.3403113959484751,91.43246043305044,6.533731350890876e-19,-0.2391054643110757,0.24063777373827352
9,baseline,2016-04-30,2020-04-29,2020-07-28,2814.809349310779,-5617.618698621558,-5585.901548333343,6,True,0.002863181808164245,0.016271273337976982,0.0009236857070638093,0.05910473326473925,2.017642653244217,1.908035776834578,,,,,,
9,tvtp_logrv,2016-04-30,2020-04-29,2020-07-28,2854.804275684404,-5693.608551368808,-5651.319017651189,8,True,0.002504494759552913,0.013557837432897298,0.001357649403211887,0.05892503214384372,0.445348906088878,0.18820700123352016,-0.9918114370373537,1.282946653541551,79.98985274724964,4.269963589982508e-18,,
9,tvtp_exflow,2016-04-30,2020-04-29,2020-07-28,2815.578587725876,-5615.157175451752,-5572.867641734133,8,True,0.0029677581188274978,0.016640621484640194,0.0007613097583494033,0.05957734597578364,2.0398345451212583,1.8935122310365817,-0.2884789711677777,0.011512344007331667,1.5384768301937584,0.4633658263845629,,
9,tvtp_both,2016-04-30,2020-04-29,2020-07-28,2857.9200358566122,-5695.8400717132245,-5642.978154566201,10,True,0.0027000523508614862,0.014030133494709163,0.001116338522451718,0.059510949310246725,0.4354833798716682,0.07827051035344591,-1.062552179202051,1.3230383353547281,86.22137309166646,8.352385665163408e-18,-0.41333818497269864,0.13122607085537877
10,baseline,2016-07-30,2020-07-29,2020-10-27,2814.9236747328537,-5617.847349465707,-5586.130199177493,6,True,0.002969663296909412,0.016329164941731856,0.0007332183441007414,0.059450608379245914,1.9273505634855739,1.7722537114335863,,,,,,
10,tvtp_logrv,2016-07-30,2020-07-29,2020-10-27,2854.1862975997433,-5692.372595199487,-5650.083061481868,8,True,0.0027281375684693574,0.014191489716307576,0.0010371704052336672,0.05959919228616745,0.5169734516051468,0.08700167092988102,-0.9840218396218344,1.3067905168104923,78.52524573377923,8.880952431065475e-18,,
10,tvtp_exflow,2016-07-30,2020-07-29,2020-10-27,2815.8705588979974,-5615.741117795995,-5573.451584078376,8,True,0.0030607691456111166,0.016660037870897006,0.0005734875079184474,0.05996118165618525,1.9329173687020933,1.736269938840369,-0.286782648164268,0.047418512100004556,1.8937683302874575,0.3879479238905288,,
10,tvtp_both,2016-07-30,2020-07-29,2020-10-27,2857.68925484982,-5695.37850969964,-5642.516592552616,10,True,0.0028272396047851196,0.014349671257184782,0.0009119259024680016,0.05978711065746602,0.4679834972272345,0.047731737285247565,-1.068999863813318,1.2883819251326123,85.5311602339325,1.1702461722387458e-17,-0.48495431476602224,0.09269486187168881
11,baseline,2016-10-29,2020-10-28,2021-01-26,2786.6074278502774,-5561.214855700555,-5529.49770541234,6,True,0.003424166445250294,0.01832579938310161,0.00011782786980684682,0.061965470695068095,1.920961669679758,1.525778472765851,,,,,,
11,tvtp_logrv,2016-10-29,2020-10-28,2021-01-26,2824.393950232069,-5632.787900464138,-5590.498366746519,8,True,0.0033609977078459005,0.01601922162213409,0.00039393502220223955,0.06108226783702267,0.6555111360670345,-0.20885441077892253,-0.803969557275347,1.598757645543067,75.57304476358331,3.88617039765396e-17,,
11,tvtp_exflow,2016-10-29,2020-10-28,2021-01-26,2788.190277570839,-5560.380555141678,-5518.091021424059,8,True,0.0034759783294562086,0.018637488137388906,-3.31758621152341e-05,0.06246860266948049,1.9444900024554463,1.508548201628237,-0.38014660471356315,0.014931455831186422,3.1656994411232517,0.20538896229079218,,
11,tvtp_both,2016-10-29,2020-10-28,2021-01-26,2827.4726503643033,-5634.9453007286065,-5582.083383581583,10,True,0.0034340249668249343,0.01588321649321722,0.0003246368530044083,0.06091907511675713,0.5700236476741916,-0.19410573867778075,-0.8632677584122898,1.4986624804735993,81.73044502805169,7.48708501015438e-17,-0.41593197998318915,0.10204277232329166
12,baseline,2017-01-28,2021-01-27,2021-04-27,2741.99700999318,-5471.99401998636,-5440.276869698146,6,True,0.0033561326499868117,0.019703072834605685,0.0011709003616098283,0.06217405524452148,2.0047606663704896,1.616413476377973,,,,,,
12,tvtp_logrv,2017-01-28,2021-01-27,2021-04-27,2778.218784438129,-5540.437568876258,-5498.14803515864,8,True,0.0032680172684759006,0.016646187874792336,0.001476278863918542,0.06059867706364418,0.6109742875638409,-0.2018061132573997,-0.6840129120879213,1.7986220528398273,72.44354888989801,1.8581605428996213e-16,,
12,tvtp_exflow,2017-01-28,2021-01-27,2021-04-27,2743.967490350373,-5471.934980700746,-5429.645446983127,8,True,0.003254623542591397,0.020037516260861,0.0012733388767903965,0.0625859023069291,2.0860770977748566,1.6915783176984922,-0.4440312151863954,-0.13950718703098727,3.9409607143852554,0.13938988319787987,,
12,tvtp_both,2017-01-28,2021-01-27,2021-04-27,2780.4665370607263,-5540.933074121453,-5488.071156974429,10,True,0.0032506005655344792,0.01634163730841926,0.0015272803839342633,0.06020454712001664,0.5135117961028132,-0.14077645856975785,-0.7290407933117613,1.7004760328816027,76.93905413509219,7.747446675752601e-16,-0.3883177005259586,0.006862960498585322
13,baseline,2017-04-29,2021-04-28,2021-07-27,2705.661201124525,-5399.32240224905,-5367.605251960836,6,True,0.0026811109990107387,0.020121013940665077,0.002356658536232424,0.061844561964830576,1.8411109356875015,1.5091803734708338,,,,,,
